Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Status,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,Purchase Year,Purchase Month,Response Delay Hrs,Resolution Hrs
50,1,30,3,0,0,2,5.0,2021,6,19.317222222222224,-18.35
66,1,33,1,0,0,1,2.0,2020,5,9.750833333333333,-6.55
21,2,1,4,0,2,0,4.0,2021,12,12.018611111111111,-0.8
58,1,0,2,0,0,0,2.0,2021,2,1.9522222222222223,7.1
47,1,22,1,0,0,1,1.0,2021,5,11.669722222222223,-4.083333333333333
31,2,38,4,0,1,0,2.0,2020,4,23.386944444444445,-16.133333333333333
22,0,3,0,0,2,3,3.0,2020,10,15.823333333333334,-14.283333333333333
40,2,22,3,0,1,0,1.0,2021,10,10.823888888888888,5.166666666666667
64,0,32,4,0,0,1,3.0,2021,3,18.641111111111112,3.466666666666667
29,0,18,3,0,0,1,4.0,2020,10,17.625,-8.7
29,0,19,3,0,1,2,3.0,2020,1,5.396111111111111,12.65
30,1,7,3,0,0,2,1.0,2021,10,23.713333333333335,-11.016666666666667
34,1,25,1,0,3,2,3.0,2020,11,21.33,-10.216666666666667
24,1,19,0,0,2,3,5.0,2021,5,21.730555555555554,1.7833333333333334
32,0,40,3,0,3,1,3.0,2020,4,6.664722222222222,2.9
41,1,14,4,0,3,0,3.0,2020,1,14.765,-6.366666666666666
30,1,39,2,0,3,2,1.0,2020,8,16.315833333333334,-3.1
44,0,25,0,0,2,3,4.0,2021,12,17.783055555555556,2.9
42,2,33,4,0,3,1,4.0,2021,10,15.318333333333333,-5.85
33,0,36,2,0,1,0,4.0,2021,4,3.571388888888889,5.083333333333333
32,0,18,0,0,3,2,4.0,2020,3,1.7216666666666667,4.216666666666667
37,2,34,3,0,1,2,1.0,2021,1,18.04,-8.433333333333334
58,2,16,2,0,3,2,1.0,2021,10,23.591666666666665,-22.7
57,1,36,0,0,3,3,2.0,2021,6,6.208888888888889,7.683333333333334
30,1,24,3,0,1,0,3.0,2021,1,4.976666666666667,-4.3
60,0,1,1,0,0,0,5.0,2021,7,3.193888888888889,18.283333333333335
66,2,9,2,0,3,0,5.0,2020,9,14.727777777777778,7.916666666666667
43,0,17,1,0,1,2,3.0,2020,6,19.863611111111112,0.05
55,1,39,3,0,3,2,1.0,2020,11,16.01388888888889,-2.6333333333333333
62,2,31,4,0,2,0,1.0,2020,2,23.915277777777778,-1.6666666666666667
65,0,9,4,0,0,3,2.0,2021,9,12.036111111111111,1.0833333333333333
70,0,39,0,0,3,3,5.0,2021,3,15.97,-8.133333333333333
35,0,33,4,0,1,0,4.0,2020,3,14.471666666666666,-14.483333333333333
53,0,3,0,0,1,2,4.0,2021,1,0.9055555555555556,17.366666666666667
66,1,27,4,0,0,3,2.0,2021,2,10.240277777777777,2.5
40,1,41,3,0,0,2,3.0,2021,1,10.426388888888889,-7.633333333333334
31,1,39,2,0,1,3,4.0,2021,9,2.9269444444444446,7.783333333333333
66,1,32,4,0,2,3,5.0,2021,7,14.811666666666667,-3.033333333333333
55,1,41,0,0,2,3,2.0,2021,10,10.245555555555555,13.65
35,1,38,3,0,1,0,3.0,2021,9,17.24861111111111,-0.6
19,0,34,4,0,0,2,2.0,2021,7,5.331944444444445,4.816666666666666
33,1,33,0,0,2,3,5.0,2021,8,7.985277777777778,5.533333333333333
48,1,26,2,0,3,0,2.0,2021,12,7.8197222222222225,-5.6
46,2,39,3,0,0,3,3.0,2021,6,18.736944444444443,-11.95
29,1,20,1,0,3,0,2.0,2020,4,22.3875,-4.05
64,2,24,3,0,1,3,3.0,2021,5,9.438333333333333,8.8
63,1,40,0,0,0,2,1.0,2021,1,16.18861111111111,-0.65
39,0,5,0,0,3,0,4.0,2020,2,22.674166666666668,-6.183333333333334
21,2,3,4,0,2,3,5.0,2021,6,2.774722222222222,-1.6166666666666667
33,1,7,2,0,0,0,2.0,2021,5,16.442222222222224,1.7833333333333334
35,0,32,0,0,1,1,2.0,2021,12,7.562222222222222,4.3
58,0,32,2,0,0,2,3.0,2020,9,3.8961111111111113,-1.5666666666666667
26,0,27,0,0,3,3,5.0,2021,4,13.529722222222222,-3.0166666666666666
24,1,3,1,0,0,2,2.0,2020,9,6.313611111111111,13.433333333333334
44,1,2,2,0,3,2,1.0,2020,1,2.8994444444444443,1.0666666666666667
53,0,2,1,0,3,0,5.0,2021,3,14.483333333333333,8.933333333333334
32,0,15,3,0,2,3,2.0,2021,7,19.200833333333332,3.05
53,1,31,4,0,1,3,2.0,2020,9,15.935833333333333,-9.033333333333333
46,0,6,3,0,0,0,2.0,2020,7,9.385833333333334,2.0
46,0,27,4,0,3,1,1.0,2020,6,2.3030555555555554,1.2666666666666666
30,0,16,1,0,1,1,2.0,2021,1,8.053888888888888,-0.2833333333333333
18,1,3,4,0,2,0,4.0,2020,5,9.62138888888889,-7.65
27,2,28,1,0,3,1,4.0,2021,8,14.889444444444445,-7.633333333333334
70,1,8,3,0,0,3,3.0,2021,11,8.873333333333333,-6.866666666666666
52,0,26,3,0,2,2,4.0,2020,1,2.7577777777777777,10.783333333333333
45,0,16,3,0,3,0,5.0,2021,10,6.5425,5.516666666666667
21,1,13,4,0,3,3,2.0,2020,4,20.260833333333334,1.75
41,2,31,4,0,3,2,2.0,2021,2,12.727777777777778,-10.883333333333333
45,1,41,4,0,0,3,3.0,2021,2,10.812777777777777,7.966666666666667
33,1,34,2,0,2,1,1.0,2020,2,17.746388888888887,-4.633333333333334
21,1,38,1,0,2,0,5.0,2021,1,17.81361111111111,5.516666666666667
52,2,19,4,0,1,2,3.0,2021,5,7.481111111111111,12.016666666666667
54,1,14,4,0,1,3,5.0,2021,4,18.014722222222222,-8.716666666666667
28,0,20,0,0,0,1,3.0,2020,7,1.5825,17.916666666666668
70,2,14,1,0,0,3,2.0,2021,10,9.633055555555556,9.7
47,1,7,3,0,1,1,2.0,2020,12,18.25027777777778,-5.466666666666667
52,1,28,1,0,0,0,4.0,2021,12,21.400833333333335,-14.416666666666666
38,1,41,4,0,1,0,2.0,2021,10,3.168888888888889,19.616666666666667
42,1,31,1,0,3,1,5.0,2020,2,8.403611111111111,2.3333333333333335
50,2,6,2,0,3,0,4.0,2020,12,14.870833333333334,2.1166666666666667
33,1,15,1,0,1,0,1.0,2021,9,17.13861111111111,5.116666666666666
22,1,6,0,0,3,3,3.0,2020,2,13.655555555555555,-4.266666666666667
24,1,34,3,0,3,1,2.0,2020,10,16.273611111111112,-14.766666666666667
39,2,2,1,0,3,1,1.0,2021,2,0.4072222222222222,0.65
32,1,15,3,0,3,3,5.0,2021,11,16.940833333333334,6.266666666666667
24,2,16,4,0,0,2,1.0,2021,6,12.94138888888889,0.8333333333333334
30,0,23,2,0,2,2,1.0,2021,8,21.90888888888889,0.35
42,2,30,3,0,3,1,4.0,2020,7,20.593333333333334,-20.216666666666665
37,0,16,2,0,2,1,5.0,2020,5,9.227777777777778,6.016666666666667
62,1,38,2,0,1,1,4.0,2021,9,4.0280555555555555,-2.716666666666667
37,2,37,3,0,1,3,3.0,2020,12,10.395,4.683333333333334
49,0,17,4,0,3,0,4.0,2020,10,17.89611111111111,-4.283333333333333
52,1,41,1,0,0,1,2.0,2021,7,19.496666666666666,-18.066666666666666
22,0,0,0,0,1,0,4.0,2020,12,18.363611111111112,1.1833333333333333
19,2,7,4,0,1,2,4.0,2021,7,7.415,12.45
43,0,26,2,0,0,0,1.0,2020,2,18.383055555555554,-4.183333333333334
21,0,15,4,0,2,2,2.0,2020,12,0.0,10.6
51,0,37,1,0,3,3,3.0,2021,6,12.469444444444445,-1.5333333333333334
67,2,17,0,0,2,2,1.0,2021,11,4.786388888888889,-4.133333333333334
69,1,4,1,0,0,3,2.0,2021,8,10.836666666666666,4.433333333333334
49,0,11,2,0,0,1,2.0,2020,3,18.821944444444444,-14.25
19,1,2,3,0,2,2,4.0,2021,5,7.189722222222223,1.8666666666666667
47,0,14,4,0,2,0,2.0,2020,6,0.4086111111111111,22.35
35,1,32,3,0,1,2,3.0,2020,4,19.213055555555556,-10.75
64,1,37,3,0,2,0,1.0,2021,2,17.23027777777778,1.2833333333333334
69,0,9,1,0,0,3,4.0,2021,4,12.165555555555555,6.116666666666666
57,2,24,2,0,3,3,2.0,2021,5,4.149444444444445,-0.16666666666666666
55,2,20,1,0,2,1,2.0,2021,10,22.61638888888889,-0.4
39,1,2,4,0,3,0,2.0,2020,5,19.600833333333334,-12.8
36,1,8,3,0,3,2,3.0,2021,4,7.368055555555555,6.816666666666666
56,0,17,4,0,3,2,1.0,2020,11,19.401944444444446,-2.65
47,2,8,3,0,0,0,1.0,2020,2,23.220555555555556,-15.2
21,0,29,0,0,1,3,1.0,2021,4,17.88888888888889,-15.916666666666666
28,1,13,3,0,2,3,5.0,2021,3,6.089722222222222,2.4
58,1,1,3,0,2,1,5.0,2020,7,23.37388888888889,-9.833333333333334
40,0,33,2,0,2,1,1.0,2021,2,14.424444444444445,-0.48333333333333334
52,2,17,0,0,0,1,3.0,2020,9,1.3255555555555556,14.233333333333333
51,2,9,2,0,3,3,2.0,2020,7,7.993055555555555,2.5166666666666666
19,0,27,0,0,0,0,5.0,2020,4,15.228055555555555,-6.133333333333334
38,0,15,1,0,2,1,2.0,2020,9,7.061944444444444,-5.716666666666667
65,2,30,3,0,0,2,3.0,2021,4,21.746111111111112,-7.266666666666667
42,0,36,1,0,3,2,4.0,2021,6,15.296388888888888,-2.3666666666666667
60,2,8,2,0,2,3,1.0,2021,12,13.964166666666667,-9.466666666666667
37,2,2,4,0,2,2,5.0,2020,9,23.733888888888888,-21.216666666666665
70,0,8,4,0,0,0,5.0,2021,7,20.301111111111112,-10.916666666666666
33,0,11,2,0,3,2,5.0,2021,6,2.7180555555555554,11.75
66,1,5,0,0,0,0,4.0,2020,3,18.93777777777778,-9.916666666666666
33,2,12,4,0,2,3,1.0,2021,12,7.772222222222222,15.366666666666667
66,2,38,4,0,3,2,1.0,2020,11,7.489166666666667,6.216666666666667
66,2,14,1,0,1,0,5.0,2020,8,10.057777777777778,8.516666666666667
59,0,8,0,0,0,2,2.0,2021,5,19.708055555555557,0.23333333333333334
43,0,39,4,0,3,2,3.0,2021,8,15.709166666666667,3.433333333333333
40,1,4,2,0,1,0,5.0,2021,12,11.544722222222223,7.233333333333333
43,2,9,2,0,2,2,2.0,2021,9,5.395555555555555,5.433333333333334
62,2,1,4,0,0,0,1.0,2021,2,18.330277777777777,-2.8666666666666667
54,1,16,4,0,3,2,2.0,2021,4,4.097222222222222,-2.1
55,1,11,0,0,0,2,4.0,2020,3,5.414166666666667,9.466666666666667
21,0,28,2,0,0,0,3.0,2021,1,13.365,7.0
38,2,29,3,0,2,1,3.0,2020,10,16.700555555555557,-9.966666666666667
30,1,25,3,0,3,0,1.0,2020,12,23.817777777777778,-13.816666666666666
52,0,6,3,0,0,3,1.0,2021,6,4.618333333333333,18.766666666666666
48,2,37,4,0,3,2,2.0,2020,11,16.621111111111112,-4.55
32,0,27,4,0,3,2,3.0,2021,9,16.321666666666665,4.066666666666666
27,2,0,1,0,3,0,3.0,2021,4,8.4225,10.433333333333334
18,1,33,3,0,2,1,2.0,2021,8,1.191111111111111,18.733333333333334
44,1,18,0,0,0,1,5.0,2021,10,23.7125,-8.683333333333334
42,1,29,2,0,0,0,3.0,2020,7,19.31388888888889,2.9166666666666665
44,1,20,4,0,3,2,3.0,2020,5,6.065277777777778,7.916666666666667
20,0,39,1,0,1,2,5.0,2020,10,6.983055555555556,-3.533333333333333
46,0,9,0,0,1,2,1.0,2021,9,20.0175,-11.033333333333333
44,0,35,2,0,2,3,4.0,2020,12,7.434444444444445,12.2
25,0,0,0,0,3,0,2.0,2021,5,17.30361111111111,-4.9
32,0,37,0,0,2,1,4.0,2021,5,18.970833333333335,-10.1
66,2,3,2,0,2,3,1.0,2020,12,22.738055555555555,-17.8
27,2,35,1,0,0,3,2.0,2020,9,5.689444444444445,2.6
24,1,25,3,0,0,0,2.0,2020,4,16.79138888888889,-8.066666666666666
52,1,20,3,0,3,2,2.0,2020,1,7.4925,10.383333333333333
44,0,33,4,0,1,2,5.0,2020,2,4.96,1.1833333333333333
68,1,21,1,0,0,2,3.0,2020,2,16.113055555555555,-1.5833333333333333
37,1,14,4,0,1,2,4.0,2020,2,2.6133333333333333,13.783333333333333
45,1,15,4,0,0,3,2.0,2021,7,11.980555555555556,9.3
64,2,8,0,0,2,1,4.0,2021,4,8.665,8.283333333333333
48,2,23,3,0,0,1,5.0,2020,4,9.449722222222222,-5.283333333333333
27,2,18,2,0,0,3,3.0,2021,11,7.25,8.833333333333334
19,0,24,2,0,3,2,4.0,2021,12,21.585833333333333,-3.433333333333333
59,0,2,4,0,2,1,4.0,2021,5,8.671944444444444,-2.5833333333333335
46,0,9,0,0,2,1,5.0,2020,1,23.122222222222224,-19.5
39,2,37,2,0,3,0,2.0,2020,11,18.022777777777776,0.18333333333333332
19,2,9,0,0,1,1,2.0,2021,6,20.774722222222223,-13.066666666666666
53,1,8,1,0,3,0,3.0,2021,8,10.661388888888888,3.2666666666666666
67,1,21,4,0,2,1,1.0,2021,4,17.97888888888889,-15.083333333333334
31,1,35,0,0,1,2,2.0,2021,3,22.329722222222223,-16.266666666666666
53,0,26,1,0,0,1,5.0,2020,7,4.213611111111111,16.516666666666666
67,1,24,3,0,3,3,1.0,2020,3,0.6975,13.933333333333334
52,0,33,3,0,3,2,3.0,2020,3,7.199166666666667,12.116666666666667
43,2,28,3,0,1,1,1.0,2020,12,3.885,6.533333333333333
55,0,38,3,0,0,1,1.0,2021,4,0.43555555555555553,18.383333333333333
57,2,31,4,0,1,3,2.0,2021,7,2.102777777777778,15.516666666666667
26,0,1,0,0,1,3,4.0,2021,12,0.905,1.8333333333333333
39,0,39,2,0,2,3,3.0,2020,9,22.439166666666665,-11.283333333333333
64,0,40,1,0,3,3,2.0,2020,10,8.756388888888889,-7.766666666666667
63,2,39,2,0,3,2,5.0,2020,9,12.8075,-9.133333333333333
28,0,30,2,0,3,1,1.0,2021,8,5.625555555555556,13.233333333333333
20,2,14,1,0,3,3,3.0,2021,12,13.74388888888889,-8.95
53,1,29,4,0,0,2,5.0,2021,1,3.4277777777777776,6.766666666666667
68,2,38,2,0,0,1,3.0,2020,1,19.029722222222222,-12.566666666666666
39,2,9,4,0,0,0,3.0,2020,5,6.246666666666667,1.1166666666666667
28,0,37,2,0,3,2,2.0,2021,1,8.13111111111111,-6.3
68,2,8,0,0,3,1,4.0,2020,1,22.648055555555555,-19.9
41,2,9,2,0,1,3,1.0,2020,11,13.715277777777779,-8.433333333333334
22,1,6,0,0,0,3,5.0,2020,4,12.651388888888889,-9.216666666666667
22,0,5,1,0,3,1,1.0,2020,3,20.551666666666666,-19.816666666666666
63,2,39,4,0,0,0,5.0,2021,7,4.452222222222222,-1.4833333333333334
37,2,12,2,0,1,0,2.0,2020,10,15.535833333333333,-14.75
69,1,10,3,0,1,0,3.0,2020,4,11.869722222222222,11.916666666666666
58,1,28,1,0,0,1,5.0,2021,10,3.3541666666666665,-1.2
26,2,13,4,0,1,2,2.0,2020,12,1.9555555555555555,18.55
70,2,22,2,0,1,1,1.0,2021,9,7.6561111111111115,8.016666666666667
37,0,24,3,0,0,0,5.0,2021,5,13.14,-10.383333333333333
30,0,31,4,0,2,2,2.0,2020,11,10.407777777777778,-8.816666666666666
68,2,0,0,0,0,2,1.0,2020,12,12.491944444444444,2.0166666666666666
50,1,10,4,0,3,1,1.0,2020,9,1.9094444444444445,18.383333333333333
29,2,22,1,0,1,3,2.0,2021,3,1.3286111111111112,14.166666666666666
50,0,15,4,0,2,0,4.0,2020,5,18.379166666666666,2.5
49,2,31,1,0,3,0,4.0,2021,7,4.180555555555555,5.116666666666666
62,0,6,4,0,0,0,2.0,2020,2,23.497777777777777,-6.416666666666667
36,1,17,1,0,1,0,1.0,2020,2,23.664444444444445,-8.466666666666667
45,1,39,4,0,0,1,1.0,2020,6,2.7,2.25
67,1,17,1,0,0,1,4.0,2020,8,18.818055555555556,3.933333333333333
37,1,31,4,0,1,2,3.0,2020,2,14.769444444444444,-11.683333333333334
47,2,27,4,0,0,1,2.0,2021,2,3.5372222222222223,17.916666666666668
51,2,40,1,0,0,2,5.0,2021,6,23.105555555555554,-14.6
37,0,34,2,0,3,2,4.0,2020,6,11.923055555555555,9.75
26,2,32,3,0,1,0,2.0,2020,10,2.039722222222222,20.666666666666668
47,0,36,4,0,0,3,1.0,2021,7,22.759166666666665,-4.033333333333333
25,0,38,2,0,3,3,5.0,2020,5,1.0097222222222222,1.5666666666666667
37,0,21,0,0,3,1,1.0,2021,8,10.326944444444445,7.833333333333333
22,2,41,3,0,0,0,5.0,2020,9,0.1775,10.3
29,0,10,2,0,1,0,4.0,2020,7,3.312777777777778,10.366666666666667
49,1,41,1,0,3,0,5.0,2020,6,2.3966666666666665,6.55
27,0,8,1,0,0,0,5.0,2020,6,3.9652777777777777,16.566666666666666
19,0,38,3,0,2,2,4.0,2020,9,5.05,14.966666666666667
35,2,7,3,0,0,2,1.0,2020,8,9.31861111111111,0.3
30,2,20,2,0,1,2,4.0,2021,1,13.103333333333333,-8.716666666666667
21,0,13,1,0,0,1,3.0,2020,4,8.203888888888889,13.183333333333334
46,1,34,3,0,0,0,1.0,2021,9,11.005555555555556,0.8166666666666667
57,1,18,2,0,1,3,3.0,2021,9,14.006666666666666,-4.25
28,0,37,4,0,1,1,2.0,2020,2,8.309166666666666,15.533333333333333
41,0,29,3,0,3,3,4.0,2020,2,8.676944444444445,13.183333333333334
27,2,31,2,0,2,3,4.0,2021,4,2.7797222222222224,21.133333333333333
23,0,21,3,0,1,2,3.0,2020,12,6.0975,15.9
29,0,23,1,0,0,3,3.0,2021,7,17.032222222222224,1.75
19,0,14,2,0,2,1,4.0,2021,4,19.100833333333334,-16.933333333333334
21,1,16,3,0,0,0,4.0,2021,2,23.186944444444446,-9.666666666666666
27,0,8,1,0,3,2,3.0,2021,5,22.97222222222222,-5.966666666666667
70,2,31,2,0,0,2,5.0,2021,2,14.339166666666667,0.85
49,0,5,0,0,1,2,4.0,2020,1,3.424722222222222,2.9
53,0,13,3,0,2,1,1.0,2020,1,16.209444444444443,2.533333333333333
29,0,37,3,0,3,1,5.0,2021,10,6.126666666666667,3.2333333333333334
69,0,28,0,0,1,3,3.0,2020,11,22.310277777777777,-17.316666666666666
67,0,41,0,0,1,3,2.0,2021,11,19.194166666666668,2.5166666666666666
52,2,34,2,0,3,2,5.0,2020,9,15.095277777777778,-7.6
25,2,16,3,0,3,3,3.0,2020,1,6.3133333333333335,8.883333333333333
23,2,28,3,0,2,1,2.0,2021,1,5.463611111111111,11.333333333333334
26,0,9,4,0,3,0,1.0,2021,10,23.897222222222222,-17.616666666666667
30,0,4,1,0,1,2,5.0,2020,3,2.1308333333333334,12.183333333333334
33,1,8,3,0,0,0,3.0,2020,5,2.8647222222222224,3.783333333333333
48,0,6,1,0,3,2,3.0,2021,2,17.40138888888889,4.116666666666666
45,2,0,4,0,1,2,5.0,2021,1,18.28527777777778,-0.9666666666666667
19,0,3,0,0,1,0,2.0,2020,12,14.17,-12.166666666666666
21,1,37,2,0,0,1,4.0,2020,9,11.821388888888889,1.7333333333333334
18,0,7,0,0,0,2,5.0,2021,11,21.139722222222222,-7.383333333333334
37,0,39,4,0,2,3,2.0,2021,3,12.873611111111112,-8.65
33,0,22,4,0,3,2,4.0,2020,10,3.058333333333333,13.833333333333334
35,2,26,3,0,0,2,2.0,2020,3,20.7925,2.933333333333333
69,0,39,0,0,2,3,5.0,2020,12,20.226111111111113,-1.7666666666666666
30,2,17,1,0,1,0,5.0,2021,9,22.943055555555556,-15.083333333333334
32,1,6,4,0,2,2,4.0,2021,10,17.809722222222224,0.6333333333333333
29,0,28,0,0,0,0,3.0,2021,10,13.0625,1.4333333333333333
54,1,7,1,0,0,2,2.0,2020,5,2.080277777777778,-1.7833333333333334
25,0,14,3,0,0,3,2.0,2021,4,18.881944444444443,3.433333333333333
29,2,28,2,0,1,3,4.0,2020,1,13.482777777777779,-2.7666666666666666
34,0,14,1,0,3,0,2.0,2020,11,8.184444444444445,9.716666666666667
48,0,4,4,0,1,1,4.0,2020,3,1.7855555555555556,4.65
43,1,4,2,0,1,3,3.0,2020,4,21.72,-20.033333333333335
47,0,5,0,0,1,0,4.0,2020,8,4.488611111111111,8.233333333333333
46,0,35,0,0,0,2,1.0,2020,4,23.906388888888888,-4.583333333333333
60,1,20,4,0,3,2,1.0,2021,2,2.8241666666666667,12.383333333333333
58,1,32,2,0,1,2,5.0,2020,2,4.491944444444444,-2.85
53,0,26,4,0,0,3,3.0,2021,4,7.259166666666666,8.8
41,1,17,1,0,3,0,2.0,2020,12,12.82611111111111,-10.5
63,1,32,1,0,2,1,5.0,2020,3,12.877777777777778,3.4166666666666665
50,2,28,4,0,3,1,4.0,2021,2,11.679722222222223,-9.883333333333333
64,2,26,1,0,3,0,3.0,2021,8,7.696944444444444,7.466666666666667
24,2,0,2,0,3,2,5.0,2021,3,14.715,-8.866666666666667
30,0,20,1,0,2,0,3.0,2020,9,21.49861111111111,-10.9
20,0,7,1,0,0,2,5.0,2020,12,13.832222222222223,3.1333333333333333
64,2,39,2,0,3,3,1.0,2021,3,2.4491666666666667,7.5
65,2,4,2,0,3,1,1.0,2020,11,20.017222222222223,-1.75
33,0,4,1,0,2,1,5.0,2021,8,7.636111111111111,7.75
36,2,7,0,0,1,0,5.0,2020,6,13.119444444444444,7.45
66,2,41,0,0,2,3,3.0,2021,4,16.973333333333333,-8.616666666666667
36,0,36,4,0,3,1,3.0,2020,11,21.241944444444446,-9.316666666666666
21,1,25,4,0,0,3,4.0,2021,5,1.3444444444444446,6.666666666666667
57,2,41,0,0,0,3,1.0,2021,5,2.963611111111111,2.283333333333333
43,1,3,0,0,3,2,4.0,2021,2,6.231111111111111,4.416666666666667
68,1,15,0,0,1,0,5.0,2020,5,17.698611111111113,4.616666666666666
67,2,6,3,0,3,0,3.0,2020,9,24.050833333333333,-3.3666666666666667
20,1,2,0,0,0,1,4.0,2021,1,5.051666666666667,4.466666666666667
62,1,41,3,0,3,3,3.0,2021,11,22.769444444444446,-11.866666666666667
51,2,33,0,0,1,3,2.0,2020,2,9.086388888888889,-5.466666666666667
38,1,25,3,0,2,0,5.0,2020,7,14.569722222222222,-4.983333333333333
64,2,26,3,0,1,1,4.0,2021,7,5.420277777777778,-1.05
59,2,35,2,0,0,2,1.0,2021,11,4.288333333333333,15.783333333333333
48,2,13,1,0,3,0,2.0,2020,6,7.739166666666667,-3.85
39,2,6,1,0,0,2,2.0,2020,9,14.639444444444445,7.25
29,2,41,2,0,0,2,5.0,2021,1,8.24,4.85
60,2,26,1,0,0,2,1.0,2021,5,8.892222222222221,10.8
67,0,39,4,0,3,2,1.0,2020,6,0.8091666666666667,17.366666666666667
44,0,38,3,0,3,1,5.0,2021,4,7.01,1.35
31,0,7,4,0,2,2,4.0,2020,9,19.110833333333332,-7.033333333333333
47,2,29,4,0,2,0,5.0,2020,11,4.828611111111111,14.316666666666666
56,0,6,0,0,1,0,2.0,2020,4,4.379722222222222,2.533333333333333
69,0,15,3,0,3,0,1.0,2021,4,9.163055555555555,2.283333333333333
64,1,21,2,0,1,0,4.0,2020,7,21.1475,-2.3333333333333335
53,1,29,2,0,1,1,2.0,2021,3,20.315277777777776,-6.383333333333334
42,1,26,2,0,1,0,4.0,2021,10,2.4491666666666667,2.466666666666667
57,2,24,3,0,0,3,2.0,2021,3,22.599722222222223,-8.983333333333333
52,0,27,2,0,1,2,3.0,2021,5,23.88861111111111,-17.35
64,2,30,2,0,3,2,4.0,2021,10,11.356111111111112,1.05
66,1,38,2,0,3,2,2.0,2020,4,19.606666666666666,-5.383333333333334
67,0,16,3,0,2,0,5.0,2021,1,1.9744444444444444,14.983333333333333
49,1,23,3,0,2,1,4.0,2020,6,5.141666666666667,14.616666666666667
41,0,36,1,0,3,3,4.0,2021,5,9.825277777777778,6.883333333333334
